Title,Company,Location,Link,Posted
Associate Relationship Manager-HL,IDFC FIRST Bank,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/associate-relationship-manager-hl-at-idfc-first-bank-4154132233?position=17&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=omIowOyrjEeZTFoG%2FNyGrg%3D%3D,2 days ago
Guest Relation Executive,Lyfe Hotels & Resorts,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/guest-relation-executive-at-lyfe-hotels-resorts-4060213397?position=18&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=%2BeJCg11N4V9chImICgeAyA%3D%3D,5 months ago
Front Office Supervisor,Lyfe Hotels & Resorts,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/front-office-supervisor-at-lyfe-hotels-resorts-4060210643?position=19&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=XMvR8R79sATien1%2FYOj%2FLA%3D%3D,5 months ago
Front Office Associate/Front Desk Assistant/GSA/ Receptionist,Lyfe Hotels & Resorts,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/front-office-associate-front-desk-assistant-gsa-receptionist-at-lyfe-hotels-resorts-4060206755?position=20&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=gg9WWM99SBPInaf%2Fr74PqQ%3D%3D,5 months ago
Associate Relationship Manager-HL,IDFC FIRST Bank,"Tangi-Chowdwar, Odisha, India",https://in.linkedin.com/jobs/view/associate-relationship-manager-hl-at-idfc-first-bank-4154128928?position=21&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=EPhzGGr9dDScohnrhNX71w%3D%3D,1 day ago
Associate Relationship Manager-HL,IDFC FIRST Bank,"Tangi-Chowdwar, Odisha, India",https://in.linkedin.com/jobs/view/associate-relationship-manager-hl-at-idfc-first-bank-4154130701?position=22&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=6U3wFaYhzZC42S3With8KA%3D%3D,2 days ago
Assistant Food & Beverage Manager,Lyfe Hotels & Resorts,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/assistant-food-beverage-manager-at-lyfe-hotels-resorts-4060213390?position=23&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=qO8NCLziwyuV6CXVjvYANg%3D%3D,5 months ago
Server/Waiter/GSA,Lyfe Hotels & Resorts,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/server-waiter-gsa-at-lyfe-hotels-resorts-4060214275?position=24&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=2yOIEM3He1csZ%2BCCXHFIuA%3D%3D,5 months ago
Sales Advisor,H&M,"Bhubaneshwar, Odisha, India",https://in.linkedin.com/jobs/view/sales-advisor-at-h-m-4200103535?position=25&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=fK36usyUuiu6koB8DQ6gRw%3D%3D,2 weeks ago
"Kolkata, Odisha - Service Engineer",Schwing Stetter India,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/kolkata-odisha-service-engineer-at-schwing-stetter-india-4076901929?position=26&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=7Ecj9A8Dhu5w9sNpAK8lFQ%3D%3D,5 months ago
Quality Officer - Fruits and Vegetables,Reliance Retail,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/quality-officer-fruits-and-vegetables-at-reliance-retail-4210490776?position=27&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=PX%2B6GS3Z0BM6udQpSnpWbw%3D%3D,5 days ago
PSD EAST - Service Engineer - 2025 / New,Larsen & Toubro,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/psd-east-service-engineer-2025-new-at-larsen-toubro-4182559028?position=28&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=5hEoNJWG4PAtLm6WdAsNwA%3D%3D,2 weeks ago
"Senior Manager-Regnl Sales-New Cars(Orissa & Chattis.)-Sales, Marketing & Customer Care-TMPV",Tata Motors,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/senior-manager-regnl-sales-new-cars-orissa-chattis-sales-marketing-customer-care-tmpv-at-tata-motors-4092795443?position=29&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=8gt6prGY89mPB%2FVNLlWjAw%3D%3D,4 months ago
Demonstrator - Barbending and Steel Fixing,Larsen & Toubro,"Cuttack, Odisha, India",https://in.linkedin.com/jobs/view/demonstrator-barbending-and-steel-fixing-at-larsen-toubro-4130409611?position=30&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=VrE%2B%2B%2BOdfNBXYO6ETiWVXw%3D%3D,3 days ago
Key Accounts Manager-Bhubaneswar,AstraZeneca,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/key-accounts-manager-bhubaneswar-at-astrazeneca-4194742439?position=31&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=USBAbcRJrv5WaxnzjfDUPA%3D%3D,3 weeks ago
